timestamp,agent,phase,hand,previous_bids,bid_choice,selected_card,current_trick,game_mode,bids,my_played_cards,global_played_cards,tricks_played,tricks_won,dealer_index
2025-02-20T20:20:50.401710,ML Agent 2,bidding,4C;8C;JC;2H;4H;TH;JH;KH;3S;QS;2D;4D;TD,,low,2D,,,,,,0,,1
2025-02-20T20:20:50.904673,ML Agent 3,bidding,5C;6C;TC;AC;3H;9H;AH;4S;AS;5D;6D;QD;KD,2:2D,high,AC,,,,,,0,,1
2025-02-20T20:20:52.387749,ML Agent 2,playing,4C;8C;JC;2H;4H;TH;JH;KH;3S;QS;2D;4D;TD,,,KH,,HIGH,2:2D;3:AC,,,0,0;0;0;0,
2025-02-20T20:20:52.888828,ML Agent 3,playing,5C;6C;TC;AC;3H;9H;AH;4S;AS;5D;6D;QD;KD,,,AH,2:KH,HIGH,2:2D;3:AC,,,0,0;0;0;0,
2025-02-20T20:21:32.995218,ML Agent 1,playing,7C;QC;5H;6H;8H;2S;5S;6S;9S;KS;3D;8D;JD,,,8H,2:KH;3:AH;0:7H,HIGH,2:2D;3:AC,,,0,0;0;0;0,
2025-02-20T20:21:33.542330,ML Agent 3,playing,5C;6C;TC;AC;3H;9H;4S;AS;5D;6D;QD;KD,,,AC,,HIGH,2:2D;3:AC,AH,KH;AH;7H;8H,1,0;0;0;1,
2025-02-20T20:25:07.292493,ML Agent 1,playing,7C;QC;5H;6H;2S;5S;6S;9S;KS;3D;8D;JD,,,QC,3:AC;0:3C,HIGH,2:2D;3:AC,8H,KH;AH;7H;8H,1,0;0;0;1,
2025-02-20T20:25:07.793947,ML Agent 2,playing,4C;8C;JC;2H;4H;TH;JH;3S;QS;2D;4D;TD,,,JC,3:AC;0:3C;1:QC,HIGH,2:2D;3:AC,KH,KH;AH;7H;8H,1,0;0;0;1,
2025-02-20T20:25:08.295698,ML Agent 3,playing,5C;6C;TC;3H;9H;4S;AS;5D;6D;QD;KD,,,AS,,HIGH,2:2D;3:AC,AH;AC,KH;AH;7H;8H;AC;3C;QC;JC,2,0;0;0;2,
2025-02-20T20:25:20.739610,ML Agent 1,playing,7C;5H;6H;2S;5S;6S;9S;KS;3D;8D;JD,,,KS,3:AS;0:7S,HIGH,2:2D;3:AC,8H;QC,KH;AH;7H;8H;AC;3C;QC;JC,2,0;0;0;2,
2025-02-20T20:25:21.242086,ML Agent 2,playing,4C;8C;2H;4H;TH;JH;3S;QS;2D;4D;TD,,,QS,3:AS;0:7S;1:KS,HIGH,2:2D;3:AC,KH;JC,KH;AH;7H;8H;AC;3C;QC;JC,2,0;0;0;2,
2025-02-20T20:25:21.745430,ML Agent 3,playing,5C;6C;TC;3H;9H;4S;5D;6D;QD;KD,,,KD,,HIGH,2:2D;3:AC,AH;AC;AS,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS,3,0;0;0;3,
2025-02-20T20:25:33.679738,ML Agent 1,playing,7C;5H;6H;2S;5S;6S;9S;3D;8D;JD,,,JD,3:KD;0:7D,HIGH,2:2D;3:AC,8H;QC;KS,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS,3,0;0;0;3,
2025-02-20T20:25:34.181812,ML Agent 2,playing,4C;8C;2H;4H;TH;JH;3S;2D;4D;TD,,,TD,3:KD;0:7D;1:JD,HIGH,2:2D;3:AC,KH;JC;QS,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS,3,0;0;0;3,
2025-02-20T20:25:34.684947,ML Agent 3,playing,5C;6C;TC;3H;9H;4S;5D;6D;QD,,,QD,,HIGH,2:2D;3:AC,AH;AC;AS;KD,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS;KD;7D;JD;TD,4,0;0;0;4,
2025-02-20T20:25:39.056456,ML Agent 1,playing,7C;5H;6H;2S;5S;6S;9S;3D;8D,,,8D,3:QD;0:AD,HIGH,2:2D;3:AC,8H;QC;KS;JD,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS;KD;7D;JD;TD,4,0;0;0;4,
2025-02-20T20:25:39.558617,ML Agent 2,playing,4C;8C;2H;4H;TH;JH;3S;2D;4D,,,4D,3:QD;0:AD;1:8D,HIGH,2:2D;3:AC,KH;JC;QS;TD,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS;KD;7D;JD;TD,4,0;0;0;4,
2025-02-20T20:25:44.673440,ML Agent 1,playing,7C;5H;6H;2S;5S;6S;9S;3D,,,3D,0:9D,HIGH,2:2D;3:AC,8H;QC;KS;JD;8D,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS;KD;7D;JD;TD;QD;AD;8D;4D,5,1;0;0;4,
2025-02-20T20:25:45.175776,ML Agent 2,playing,4C;8C;2H;4H;TH;JH;3S;2D,,,2D,0:9D;1:3D,HIGH,2:2D;3:AC,KH;JC;QS;TD;4D,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS;KD;7D;JD;TD;QD;AD;8D;4D,5,1;0;0;4,
2025-02-20T20:25:45.677882,ML Agent 3,playing,5C;6C;TC;3H;9H;4S;5D;6D,,,6D,0:9D;1:3D;2:2D,HIGH,2:2D;3:AC,AH;AC;AS;KD;QD,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS;KD;7D;JD;TD;QD;AD;8D;4D,5,1;0;0;4,
2025-02-20T20:25:51.319006,ML Agent 1,playing,7C;5H;6H;2S;5S;6S;9S,,,7C,0:KC,HIGH,2:2D;3:AC,8H;QC;KS;JD;8D;3D,KH;AH;7H;8H;AC;3C;QC;JC;AS;7S;KS;QS;KD;7D;JD;TD;QD;AD;8D;4D;9D;3D;2D;6D,6,2;0;0;4,
